# Program settings for SigmaNu
# Electroweak scheme and input parameters
# Scheme = Complex mass scheme
# alpha_GF = 0.00755898078237864
# Pole masses/widths for particles [GeV]
# mw = 80.35797361
# gw = 2.084298894
# mz = 91.15348062
# gz = 2.494266379
# s^2_thetaw (derived) = (0.222868505240788,-0.00110716741475141)
# charged leptons
# m_e = 0.0005109989461
# m_m = 0.10565837
# m_t = 1.77686
# quarks
# m_d = 0.05
# m_u = 0.05
# m_s = 0.2
# m_c = 1.51
# m_b = 4.92
# m_t = 173
# Ecms (default) = 200

# channel_id = 113
# active_virtual = 0
# process  = nu_mu A -> mu- nu_tau tau+
# Ecms	sigma[pb]	sigma_error[pb]	sigma_LO_analytic[pb]	ratio(NLO/LO)
75.35797361	1.78316035120868	0.00142546570726184	0	inf
77.6498464229686	3.21580935739608	0.00256800062029893	0	inf
80.0114222910912	10.0853077808567	0.00790282718885607	0	inf
82.444821103338	27.9943863299088	0.0220365613610622	0	inf
84.9522272211656	32.8110172698974	0.0257192126600571	0	inf
87.5358914393272	33.1080100341241	0.0243911126682428	0	inf
90.1981330063184	32.0727419529945	0.0234821421946758	0	inf
92.9413417062705	30.6411439249415	0.0243916490737618	0	inf
95.7679800041607	29.1792464178123	0.0232824434961601	0	inf
98.6805852562655	27.8364498408737	0.0212081592189247	0	inf
101.68177198784	26.6431213445346	0.0204570387341892	0	inf
104.774234240069	25.6154157039721	0.0198740249694824	0	inf
107.960747988397	24.7469703011844	0.0196820280686912	0	inf
111.244173634407	24.0193105518387	0.0184528084781587	0	inf
114.627458573481	23.4108233913004	0.0184594543928071	0	inf
118.11363984056	22.9022550645573	0.018008731140099	0	inf
121.705846836363	22.4579385266626	0.0172643573099819	0	inf
125.407304136517	22.0880151960426	0.0174627293943201	0	inf
129.221334386132	21.7655117700325	0.0169236717946392	0	inf
133.151361282394	21.4721868985886	0.0170044238644751	0	inf
137.200912647883	21.201726126371	0.0166507716648698	0	inf
141.373623597351	20.9565680327951	0.0162947415323216	0	inf
145.673239800813	20.7145585699207	0.0163256514515434	0	inf
150.103620845882	20.4789358968031	0.0158662123666665	0	inf
154.668743702359	20.2505026881841	0.0159028071688796	0	inf
159.372706292198	20.0227167389264	0.0158820586280556	0	inf
164.219731168034	19.7969436344984	0.0155510579703892	0	inf
169.214169303604	19.5694653532832	0.0152272154049315	0	inf
174.360503999426	19.3370447608895	0.0153646565635182	0	inf
179.66335490728	19.1111822877838	0.0150771761739848	0	inf
185.127482177073	18.8793099690986	0.0147354104509427	0	inf
190.757790729832	18.6406026717176	0.0146836791966054	0	inf
196.559334660647	18.4127627878998	0.0145804584276703	0	inf
202.537321775526	18.1668293354481	0.0143523151990599	0	inf
208.697118266222	17.9324575037188	0.0143263252860114	0	inf
215.044253527244	17.692899084361	0.0139350980950797	0	inf
221.584425119369	17.4562082692734	0.0136039658161883	0	inf
228.323503884101	17.2281422634151	0.013617048698794	0	inf
235.267539213685	16.9922757087375	0.0135432793613828	0	inf
242.422764481398	16.758376205691	0.0132631154618501	0	inf
249.795602636986	16.5397144026941	0.0132306333561326	0	inf
257.392671972285	16.3177942353789	0.0129841141943759	0	inf
265.220792062186	16.1032601706403	0.0127900065935522	0	inf
273.286989886283	15.8881378765104	0.0126795648394319	0	inf
281.598506136705	15.6900637479326	0.0124184925983813	0	inf
290.162801717785	15.489979112653	0.0121370716058602	0	inf
298.987564443405	15.3010919305862	0.0122128165608441	0	inf
308.080715938029	15.1205101512095	0.0119423609456612	0	inf
317.450418747614	14.9300445496401	0.0117447429044876	0	inf
327.105083666797	14.7602027243568	0.0117292574285994	0	inf
337.05337728891	14.5862969377643	0.0115650435857931	0	inf
347.304229785629	14.4363708186249	0.0113778607171643	0	inf
357.866842923213	14.2590648624519	0.011375625970117	0	inf
368.750698322554	14.1170256388418	0.0110877082725571	0	inf
379.965565970435	13.9814192107643	0.0111040668870111	0	inf
391.521512989641	13.8240234119781	0.0109342730382912	0	inf
403.4289126758	13.6917219593142	0.0109061489868178	0	inf
415.698453809062	13.5670942418891	0.0107839436587025	0	inf
428.341150248974	13.4523334598452	0.0106887271377024	0	inf
441.368350821165	13.322281491296	0.0106441444461141	0	inf
454.79174950472	13.2059086415141	0.0104387993411178	0	inf
468.623395929379	13.0974333093416	0.0103934933309247	0	inf
482.875706191992	12.9972878500023	0.0103330514531188	0	inf
497.561474001938	12.8976824368657	0.010254828911437	0	inf
512.693882165502	12.7978982796479	0.0102124246072286	0	inf
528.286514419543	12.7223863054208	0.00999566648059349	0	inf
544.353367625047	12.6302815370831	0.010025485141117	0	inf
560.908864331533	12.5576893011491	0.00994363460122159	0	inf
577.967865723576	12.4916651805177	0.00989751425340906	0	inf
595.545684961083	12.4100101055583	0.00990545023698203	0	inf
613.658100925277	12.3357852012938	0.00980791387539628	0	inf
632.321372382751	12.2724963869738	0.00978027995215404	0	inf
651.552252580288	12.2104410105162	0.00968045713506733	0	inf
671.368004283557	12.1320265612729	0.00965950359068104	0	inf
691.786415273184	12.09080004126	0.00952139998246165	0	inf
712.82581431211	12.0399360263976	0.00960731235563449	0	inf
734.505087598559	11.9834351464746	0.00948292641443923	0	inf
756.843695719397	11.9278488729321	0.00952365115419283	0	inf
779.861691119101	11.8991674281992	0.00938896241413606	0	inf
803.579736100003	11.8555150288849	0.00941917509458803	0	inf
