# Program settings for SigmaNu
# Electroweak scheme and input parameters
# Scheme = Complex mass scheme
# alpha_GF = 0.00755898078237864
# Pole masses/widths for particles [GeV]
# mw = 80.35797361
# gw = 2.084298894
# mz = 91.15348062
# gz = 2.494266379
# s^2_thetaw (derived) = (0.222868505240788,-0.00110716741475141)
# charged leptons
# m_e = 0.0005109989461
# m_m = 0.10565837
# m_t = 1.77686
# quarks
# m_d = 0.05
# m_u = 0.05
# m_s = 0.2
# m_c = 1.51
# m_b = 4.92
# m_t = 173
# Ecms (default) = 200

# channel_id = 29
# active_virtual = 0
# process  = nu_m A -> W+ m-
# Ecms	sigma[pb]	sigma_error[pb]	sigma_LO_analytic[pb]	ratio(NLO/LO)
75.35797361	0	9.06508412273123e-19	0	nan
77.6498464229686	0	9.06508412273123e-19	0	nan
80.0114222910912	0	9.06508412273123e-19	0	nan
82.444821103338	319.639364434967	0.201233727549124	319.251029180778	1.00121639468222
84.9522272211656	338.729774986149	0.149372783526108	338.64510239216	1.00025003342257
87.5358914393272	328.447447801633	0.196288031556037	327.968062923318	1.00146168158583
90.1981330063184	310.809707981065	0.172239876446386	310.380225636667	1.00138372972543
92.9413417062705	292.486627762375	0.139421595955743	292.085924749795	1.00137186690157
95.7679800041607	275.519924003331	0.112907817457867	275.211775114037	1.00111967916041
98.6805852562655	260.67961919346	0.0942588655905702	260.443665865373	1.000905966852
101.68177198784	248.060559989468	0.0811590556738115	247.876691465726	1.00074177415656
104.774234240069	237.526782262012	0.0714885452003959	237.355142153851	1.00072313625314
107.960747988397	228.765665881405	0.0639798319862632	228.625319306682	1.00061387153071
111.244173634407	221.531641419108	0.0581296046280859	221.40825585348	1.00055727626394
114.627458573481	215.540423592008	0.0537541861749699	215.434618570649	1.00049112358107
118.11363984056	210.552762138649	0.0505212944857529	210.460615478769	1.00043783327189
121.705846836363	206.353756480332	0.0480406757185768	206.274038201013	1.00038646782705
125.407304136517	202.769555247382	0.0462063231326588	202.69514565944	1.00036710098656
129.221334386132	199.642742316171	0.0447838803143089	199.574918379642	1.00033984198555
133.151361282394	196.854100331153	0.0436948399586246	196.792077228763	1.00031517072874
137.200912647883	194.305971417796	0.0428703373523229	194.249641644926	1.00028998649569
141.373623597351	191.924868377589	0.0422844547843034	191.871454222391	1.0002783851064
145.673239800813	189.644250245798	0.0418341072784428	189.598898336189	1.00023919922535
150.103620845882	187.430347782164	0.041479600394527	187.387919131153	1.00022642148548
154.668743702359	185.244293028297	0.0413169101887625	185.206390595154	1.0002046497047
159.372706292198	183.0651625616	0.0411651258852434	183.031832743405	1.00018209847815
164.219731168034	180.879415244151	0.0410543658638379	180.849461604492	1.00016562747488
169.214169303604	178.679864887221	0.0409633525792456	178.650543831476	1.00016412519725
174.360503999426	176.454097019628	0.0408728109697126	176.431023182932	1.00013078106265
179.66335490728	174.215839386993	0.0408032798080231	174.190385259218	1.00014612820184
185.127482177073	171.949781336586	0.0407310455522297	171.930728146918	1.00011081899014
190.757790729832	169.678199320007	0.0406834207894014	169.656009031309	1.00013079577213
196.559334660647	167.390572854886	0.0406248233480091	167.371439772888	1.00011431509476
202.537321775526	165.102307057562	0.0405791298640816	165.083007538184	1.00011690797051
208.697118266222	162.816168522422	0.0405334064652664	162.797099607258	1.00011713301533
215.044253527244	160.538182190415	0.0404941982136331	160.520214327027	1.00011193520681
221.584425119369	158.278051400302	0.040438875419542	158.258742777835	1.00012200667166
228.323503884101	156.039212386046	0.0404075640689044	156.018808045853	1.00013078128495
235.267539213685	153.825498413035	0.0403976283177074	153.806151044257	1.00012579060491
242.422764481398	151.645494856415	0.0404130350433305	151.626053613779	1.00012821835148
249.795602636986	149.501904218444	0.0404243158783457	149.483291177607	1.00012451586187
257.392671972285	147.399292140609	0.0404696409768947	147.382108549798	1.00011659210863
265.220792062186	145.344778666168	0.0405143899270973	145.326213624296	1.00012774737199
273.286989886283	143.336891205879	0.0405980382179678	143.318784626998	1.00012633779255
281.598506136705	141.378292172787	0.0406551024190148	141.362487418162	1.00011180303144
290.162801717785	139.476796857422	0.0407154598612634	139.459500007255	1.00012402776552
298.987564443405	137.632321570147	0.0408259157692026	137.611542005424	1.00015100161237
308.080715938029	135.834797922475	0.0409539426815001	135.819907208451	1.0001096357252
317.450418747614	134.098591341556	0.0410489532106473	134.085497889689	1.00009765002236
327.105083666797	132.415130248614	0.0412042693911728	132.40885970049	1.0000473574664
337.05337728891	130.797187832918	0.0413298431457761	130.790216335983	1.00005330289321
347.304229785629	129.235211817612	0.0415086603677105	129.229503335854	1.00004417320821
357.866842923213	127.729872212338	0.041678604009799	127.726400561149	1.00002718037285
368.750698322554	126.287317508772	0.041874561521849	126.280363025759	1.00005507176925
379.965565970435	124.896754713619	0.0420905309739137	124.890649870911	1.00004888150326
391.521512989641	123.566162856036	0.0423241921500438	123.556351357581	1.00007940909833
403.4289126758	122.287921346278	0.042616372496453	122.276413819344	1.00009411076572
415.698453809062	121.066231754465	0.0429420583817712	121.049662570204	1.00013687922716
428.341150248974	119.895063255824	0.0433126277540444	119.874822801347	1.00016884658516
441.368350821165	118.775967925556	0.0437114491968011	118.750538529834	1.00021414130863
454.79174950472	117.704388626295	0.0441725451121674	117.675389683121	1.0002464316732
468.623395929379	116.67808541009	0.044718538066614	116.647907417501	1.00025871010683
482.875706191992	115.696033600168	0.045343070208721	115.666587777562	1.00025457500883
497.561474001938	114.756762495443	0.0460489918094793	114.729903808619	1.00023410362889
512.693882165502	113.860316160015	0.0468286412696109	113.836316235745	1.0002108283636
528.286514419543	113.00588063422	0.0476731806105893	112.984282822272	1.00019115766731
544.353367625047	112.19267678444	0.0485884027550405	112.172266518024	1.00018195465822
560.908864331533	111.417963198548	0.0495885255531979	111.398742503605	1.00017253960422
577.967865723576	110.680644035757	0.0507005437923513	110.662204232207	1.00016663144998
595.545684961083	109.978660864558	0.0519368863033719	109.961168564861	1.00015907706261
613.658100925277	109.312191728575	0.0532915758752217	109.294180089223	1.00016479962005
632.321372382751	108.678236083594	0.0547637983389766	108.659814705885	1.00016953257061
651.552252580288	108.075513754628	0.0563793270169718	108.056682560124	1.0001742714477
671.368004283557	107.503272197762	0.0581647790779311	107.483430390991	1.00018460340072
691.786415273184	106.957343556207	0.0601775725202044	106.938743363793	1.00017393314929
712.82581431211	106.436716071144	0.0624896827027471	106.421346446404	1.00014442238567
734.505087598559	105.942229561939	0.0646865968111946	105.930005384504	1.00011539862941
756.843695719397	105.476163964973	0.0666603089407206	105.463527325779	1.00011981999383
779.861691119101	105.035361383719	0.0685811628502717	105.020761138404	1.00013902246714
803.579736100003	104.617108378376	0.0705031356363537	104.600597464694	1.00015784722155
