# Program settings for SigmaNu
# Electroweak scheme and input parameters
# Scheme = Complex mass scheme
# alpha_GF = 0.00755898078237864
# Pole masses/widths for particles [GeV]
# mw = 80.35797361
# gw = 2.084298894
# mz = 91.15348062
# gz = 2.494266379
# s^2_thetaw (derived) = (0.222868505240788,-0.00110716741475141)
# charged leptons
# m_e = 0.0005109989461
# m_m = 0.10565837
# m_t = 1.77686
# quarks
# m_d = 0.05
# m_u = 0.05
# m_s = 0.2
# m_c = 1.51
# m_b = 4.92
# m_t = 173
# Ecms (default) = 1

# channel_id = 9
# active_virtual = 0
# process  = nu_1 nu_1~ -> nu_2 nu_2~
# Ecms	sigma[pb]	sigma_error[pb]	sigma_analytic[pb]	ratio
3.02664805939572e-07	2.5715195923255e-16	1.62590403299191e-18	2.5724743696769e-16	0.999628848643678
3.19896891543457e-07	2.87267192456864e-16	1.81631471195401e-18	2.87373851651676e-16	0.999628848643677
3.38110078248073e-07	3.20909240234183e-16	2.02902450939242e-18	3.21028390356681e-16	0.99962884864368
3.57360224606583e-07	3.58491130111016e-16	2.26664488957762e-18	3.58624233981869e-16	0.999628848643676
3.77706369453942e-07	4.00474259558529e-16	2.53209314705946e-18	4.0062295131028e-16	0.999628848643682
3.99210912974811e-07	4.47374060605865e-16	2.82862822265045e-18	4.4754016574539e-16	0.999628848643677
4.21939808080509e-07	4.99766327862406e-16	3.15989071384132e-18	4.99951885682871e-16	0.999628848643683
4.45962762681916e-07	5.58294287618778e-16	3.52994757086344e-18	5.58501576236306e-16	0.999628848643679
4.71353453478699e-07	6.23676494814943e-16	3.94334202713517e-18	6.2390805913731e-16	0.999628848643681
4.98189751920525e-07	6.96715654827289e-16	4.40514937709603e-18	6.96974337798084e-16	0.999628848643679
5.26553963033285e-07	7.78308478381009e-16	4.92103928621866e-18	7.78597455882787e-16	0.99962884864368
5.56533077842775e-07	8.69456690577636e-16	5.49734539818746e-18	8.69779510422623e-16	0.999628848643687
5.88219040170007e-07	9.71279329196953e-16	6.14114309381891e-18	9.71639954683985e-16	0.999628848643683
6.21709028616396e-07	1.0850264832611e-15	6.86033635637929e-18	1.08542934183351e-15	0.999628848643683
6.57105754603641e-07	1.21209464053076e-15	7.66375480975686e-18	1.21254467813265e-15	0.999628848643676
6.94517777382385e-07	1.35404383235672e-15	8.56126212083698e-18	1.35454657415493e-15	0.999628848643671
7.34059836975738e-07	1.51261678637608e-15	9.56387709695037e-18	1.5131784045933e-15	0.999628848643679
7.75853206078802e-07	1.68976032219311e-15	1.06839089651224e-17	1.69038771188508e-15	0.999628848643681
8.20026061993433e-07	1.88764925272238e-15	1.19351084939624e-17	1.8883501164293e-15	0.999628848643679
8.66713879738945e-07	2.10871308463366e-15	1.33328368135359e-17	2.1094960269452e-15	0.999628848643685
9.16059847544394e-07	2.35566584570313e-15	1.48942540058438e-17	2.3565404788981e-15	0.999628848643681
9.68215305996734e-07	2.63153940526543e-15	1.66385297812524e-17	2.63251646732281e-15	0.999628848643681
1.02334021219167e-06	2.93972069684514e-15	1.85870788273787e-17	2.94081218327565e-15	0.999628848643681
1.08160363031074e-06	3.28399329995517e-15	2.07638237198375e-17	3.28521261107157e-15	0.999628848643677
1.14318425012918e-06	3.66858389156642e-15	2.31954886226352e-17	3.66994599700082e-15	0.999628848643681
1.20827093504481e-06	4.09821413753928e-15	2.59119273840094e-17	4.09973576002717e-15	0.999628848643679
1.27706330130868e-06	4.57815866109455e-15	2.89464900557847e-17	4.57985848178185e-15	0.999628848643674
1.34977233023398e-06	5.11430980000968e-15	3.23364323360487e-17	5.11620868780337e-15	0.999628848643681
1.42662101526078e-06	5.71324994757204e-15	3.61233729619285e-17	5.71537121535046e-15	0.999628848643686
1.5078450458611e-06	6.38233236542882e-15	4.03538046679289e-17	6.38470205625671e-15	0.999628848643678
1.59369353038183e-06	7.12977146048221e-15	4.50796649829343e-17	7.13241866734443e-15	0.999628848643681
1.68442976004237e-06	7.96474363417001e-15	5.0358973873626e-17	7.9677008571499e-15	0.999628848643679
1.78033201643018e-06	8.89749994227184e-15	5.62565460627212e-17	8.90080348755858e-15	0.999628848643681
1.88169442497062e-06	9.93949194837792e-15	6.28447867672815e-17	9.94318237400219e-15	0.999628848643678
1.98882785698888e-06	1.110351231614e-14	7.02045806264343e-17	1.11076349299097e-14	0.99962884864368
2.10206088313024e-06	1.24038518663714e-14	7.84262847320158e-17	1.24084572821216e-14	0.999628848643679
2.22174078106297e-06	1.38564750272077e-14	8.76108379536583e-17	1.38616197861922e-14	0.999628848643676
2.34823460055437e-06	1.5479215831348e-14	9.7871000177683e-17	1.54849630964037e-14	0.999628848643685
2.48193028918635e-06	1.72919730147416e-14	1.7792746123645e-17	1.72984171976667e-14	0.999627469793827
2.62323788216323e-06	1.93322235949617e-14	4.93284026579978e-17	1.93242460883894e-14	1.00041282368978
2.7725907598606e-06	2.15962328758724e-14	5.51052839816393e-17	2.1587321118316e-14	1.00041282368978
2.93044697697227e-06	2.41253817564195e-14	6.15586996349862e-17	2.41154263371385e-14	1.00041282368977
3.09729066733154e-06	2.6950720907591e-14	6.87678789934684e-17	2.6939599602682e-14	1.00041282368977
3.27363352871539e-06	3.01069373646534e-14	7.68213300362263e-17	3.00945136364917e-14	1.00041282368979
3.46001639218526e-06	3.36327803841357e-14	8.58179259694156e-17	3.36189017050876e-14	1.00041282368978
3.65701088077765e-06	3.75715371732078e-14	9.58681191046706e-17	3.75560331530282e-14	1.00041282368978
3.86522116263144e-06	4.19622932427468e-14	1.99638742866299e-17	4.19542446259601e-14	1.00019184272911
4.08528580392875e-06	4.68897119344503e-14	5.54390094137735e-17	4.68675335055449e-14	1.00047321519283
4.31787972733222e-06	5.23809966010783e-14	6.19315078695479e-17	5.2356220841936e-14	1.00047321519284
4.56371628192498e-06	5.85153691871217e-14	6.91843470428881e-17	5.84876919227095e-14	1.00047321519284
4.8235494310017e-06	6.53681421371554e-14	7.72865709298394e-17	6.53372235703039e-14	1.00047321519284
5.09817606442068e-06	7.30234477851295e-14	8.63376515267364e-17	7.29889083248015e-14	1.00047321519284
5.38843844260849e-06	8.15752712573514e-14	9.64487100600853e-17	8.15366868583562e-14	1.00047321519284
5.69522677971311e-06	9.11268473175497e-14	2.30792327716451e-17	9.10855012963466e-14	1.00045392538455
6.01948197382758e-06	1.01793475184573e-13	6.43389604722992e-17	1.0175258360472e-13	1.00040187264445
6.36219849265782e-06	1.13714575280585e-13	7.18737379861026e-17	1.13668894861215e-13	1.00040187264445
6.7244274234846e-06	1.27031763163574e-13	8.02909181958681e-17	1.26980733080577e-13	1.00040187264445
7.1072796967738e-06	1.41908535582437e-13	8.96938398552381e-17	1.41851529333223e-13	1.00040187264446
7.51192949332137e-06	1.58527536496683e-13	1.00197943787074e-16	1.58463854208542e-13	1.00040187264445
7.93961784538272e-06	1.77092799418737e-13	1.11932190163212e-16	1.77021659256406e-13	1.00040187264445
8.39165644283063e-06	1.97832252358387e-13	1.25040641765683e-16	1.97752780925368e-13	1.00040187264445
8.86943165601521e-06	2.21000516122911e-13	1.39684232662449e-16	2.20911737738677e-13	1.00040187264445
9.37440878766353e-06	2.4688203032797e-13	1.5604274401476e-16	2.46782855049405e-13	1.00040187264445
9.90813656685925e-06	2.75794545497629e-13	1.74317011273084e-16	2.7568375573768e-13	1.00040187264445
1.0472251898885e-05	3.08093024126542e-13	1.94731389857116e-16	3.07969259705734e-13	1.00040187264445
1.10684848854948e-05	3.44173998598e-13	2.17536509597023e-16	3.44035740045363e-13	1.00040187264445
1.16986641310138e-05	3.84480439460659e-13	2.43012351744598e-16	3.84325989358985e-13	1.00040187264445
1.23647223505379e-05	4.29507193832283e-13	2.71471686337883e-16	4.29334655978729e-13	1.00040187264446
1.30687022974343e-05	4.79807060698484e-13	3.03263912118708e-16	4.79614316824665e-13	1.00040187264445
1.3812763028321e-05	5.35997577693695e-13	3.38779346141499e-16	5.35782261459432e-13	1.00040187264445
1.45991865247407e-05	5.98768602686417e-13	3.78454015745898e-16	5.98528070627896e-13	1.00040187264445
1.54303846918366e-05	6.68890783248895e-13	4.22775011715742e-16	6.68622082324531e-13	1.00040187264445
1.63089067554944e-05	7.4722501799186e-13	4.72286468355056e-16	7.46924849327453e-13	1.00040187264445
1.72374470806373e-05	8.34733025922375e-13	5.275962438887e-16	8.34397704310416e-13	1.00040187264446
1.82188534346529e-05	9.32489153586003e-13	5.8938338321501e-16	9.3211456224195e-13	1.00040187264444
1.92561357212933e-05	1.04169356495117e-12	6.5840645461965e-16	1.04127510497114e-12	1.00040187264445
2.03524752118372e-05	1.1636869759693e-12	7.35512862817853e-16	1.1632195098688e-12	1.00040187264444
2.15112343018231e-05	1.29996711470907e-12	8.21649252636471e-16	1.29944490334945e-12	1.00040187264444
2.27359668232787e-05	1.45220710914756e-12	9.17873131099169e-16	1.45162374127591e-12	1.00040187264445
2.40304289440714e-05	1.62227602836759e-12	1.02536585056242e-15	1.621624341905e-12	1.00040187264446
2.53985906878091e-05	1.81226182934814e-12	1.14544711232751e-15	1.81153382345999e-12	1.00040187264446
2.68446481096216e-05	2.0244969910682e-12	1.27959116877085e-15	2.02368372793691e-12	1.00040187264445
2.83730361651642e-05	2.26158715063729e-12	1.42944492292781e-15	2.26067864573168e-12	1.00040187264445
2.99884423123125e-05	2.52644309302183e-12	1.59684814771163e-15	2.52542819251575e-12	1.00040187264445
3.16958208872635e-05	2.82231648710913e-12	1.78385607304679e-15	2.82118273094456e-12	1.00040187264445
3.35004082991338e-05	3.15283980684508e-12	1.99276461816672e-15	3.15157327575855e-12	1.00040187264446
3.54077390896554e-05	3.52207092756229e-12	2.2261385789063e-15	3.52065607219637e-12	1.00040187264445
3.74236629072227e-05	3.93454294501343e-12	2.48684311599255e-15	3.93296239501519e-12	1.00040187264446
3.95543624473501e-05	4.39531982874328e-12	2.77807893101169e-15	4.39355417950661e-12	1.00040187264446
4.18063724145608e-05	4.91005859306438e-12	3.10342156177567e-15	4.90808616749704e-12	1.00040187264445
4.41865995638629e-05	5.48507874891523e-12	3.46686527966756e-15	5.48287533130663e-12	1.00040187264445
4.6702343883277e-05	6.12743988927121e-12	3.87287212778134e-15	6.12497842799314e-12	1.00040187264445
4.93613209823831e-05	6.84502836063338e-12	4.32642670199176e-15	6.84227863602387e-12	1.00040187264445
5.21716857555477e-05	7.64665408467165e-12	4.83309734742397e-15	7.64358233802442e-12	1.00040187264445
5.51420573924075e-05	8.54215871871362e-12	5.39910452173002e-15	8.53872723781831e-12	1.00040187264445
5.82815458123132e-05	9.54253648297843e-12	6.03139716441675e-15	9.5387031391233e-12	1.00040187264445
6.15997796038068e-05	1.06600691379672e-11	6.73773800978555e-15	1.06557868687195e-11	1.00040187264446
6.510693555482e-05	1.19084767691421e-11	7.52679889105321e-15	1.19036930005573e-11	1.00040187264445
6.88137698641625e-05	1.33030862300995e-11	8.40826720540616e-15	1.32977422312638e-11	1.00040187264445
7.27316511300208e-05	1.48610193122304e-11	9.3929648474458e-15	1.48550494742146e-11	1.00040187264446
7.68725952166439e-05	1.66014029510528e-11	1.04929810709085e-14	1.65947339814238e-11	1.00040187264445
8.12493021061475e-05	1.85456040499464e-11	1.17218209098586e-14	1.85381540729459e-11	1.00040187264445
8.58751948484592e-05	2.07174918042446e-11	1.3094570981694e-14	2.07091693555911e-11	1.00040187264446
9.07644607288616e-05	2.31437307462726e-11	1.46280847074737e-14	2.31344336502438e-11	1.00040187264445
9.59320947793909e-05	2.58541081090832e-11	1.63411892232025e-14	2.58437222240906e-11	1.00040187264445
0.000101393945767538	2.88818995279677e-11	1.82549165231433e-14	2.88702973452274e-11	1.00040187264445
0.000107166764803296	3.2264277569512e-11	2.03927616721149e-14	3.2251316647604e-11	1.00040187264444
0.000113268256713626	3.60427681037581e-11	2.27809712571005e-14	3.60282893198537e-11	1.00040187264446
0.000119717134341908	4.02637601223979e-11	2.54488656201818e-14	4.02475857186924e-11	1.00040187264445
0.000126533175938906	4.49790752621203e-11	2.8429198827581e-14	4.49610066634753e-11	1.00040187264445
