# Program settings for SigmaNu
# Electroweak scheme and input parameters
# Scheme = Complex mass scheme
# alpha_GF = 0.00755898078237864
# Pole masses/widths for particles [GeV]
# mw = 80.35797361
# gw = 2.084298894
# mz = 91.15348062
# gz = 2.494266379
# s^2_thetaw (derived) = (0.222868505240788,-0.00110716741475141)
# charged leptons
# m_e = 0.0005109989461
# m_m = 0.10565837
# m_t = 1.77686
# quarks
# m_d = 0.05
# m_u = 0.05
# m_s = 0.2
# m_c = 1.51
# m_b = 4.92
# m_t = 173
# Ecms (default) = 1

# channel_id = 1
# active_virtual = 0
# process  = nu_e nu_e -> nu_e nu_e
# Ecms	sigma[pb]	sigma_error[pb]	sigma_analytic[pb]	ratio
2.83730361651642e-05	1.35742280273853e-11	1.57013171246727e-18	1.35742280273898e-11	0.999999999999666
2.99884423123125e-05	1.51639147017773e-11	1.57013171246727e-18	1.51639147017781e-11	0.999999999999946
3.16958208872635e-05	1.6939770616699e-11	1.57013171246727e-18	1.69397706167028e-11	0.999999999999774
3.35004082991338e-05	1.89235981730262e-11	1.57013171246727e-18	1.89235981730272e-11	0.999999999999949
3.54077390896554e-05	2.11397530649703e-11	1.57013171246727e-18	2.1139753064962e-11	1.00000000000039
3.74236629072227e-05	2.36154432979003e-11	1.57013171246727e-18	2.36154432979107e-11	0.999999999999561
3.95543624473501e-05	2.63810632244785e-11	1.57013171246727e-18	2.63810632244883e-11	0.999999999999628
4.18063724145608e-05	2.94705666997106e-11	1.57013171246727e-18	2.94705666997164e-11	0.999999999999805
4.41865995638629e-05	3.29218839366747e-11	1.57013171246727e-18	3.29218839366652e-11	1.00000000000029
4.6702343883277e-05	3.67773871803303e-11	1.57013171246727e-18	3.67773871803314e-11	0.999999999999969
4.93613209823831e-05	4.10844109168946e-11	1.57013171246727e-18	4.10844109168866e-11	1.00000000000019
5.21716857555477e-05	4.58958330049879e-11	1.57013171246727e-18	4.58958330049692e-11	1.00000000000041
5.51420573924075e-05	5.12707238636273e-11	1.57013171246727e-18	5.12707238636401e-11	0.999999999999752
5.82815458123132e-05	5.72750716871315e-11	1.57013171246727e-18	5.72750716871618e-11	0.999999999999473
6.15997796038068e-05	6.39825925901571e-11	1.57013171246727e-18	6.39825925901527e-11	1.00000000000007
6.510693555482e-05	7.14756356293767e-11	1.57013171246727e-18	7.14756356293669e-11	1.00000000000014
6.88137698641625e-05	7.98461938131933e-11	1.57013171246727e-18	7.98461938131632e-11	1.00000000000038
7.27316511300208e-05	8.91970335109299e-11	1.57013171246727e-18	8.91970335109512e-11	0.99999999999976
7.68725952166439e-05	9.96429561285565e-11	1.57013171246727e-18	9.9642956128512e-11	1.00000000000045
8.12493021061475e-05	1.11312207538974e-10	1.57013171246727e-18	1.11312207538937e-10	1.00000000000034
8.58751948484592e-05	1.24348052573004e-10	1.57013171246727e-18	1.24348052572938e-10	1.00000000000053
9.07644607288616e-05	1.38910533898759e-10	1.57013171246727e-18	1.38910533898749e-10	1.00000000000007
9.59320947793909e-05	1.55178436885532e-10	1.57013171246727e-18	1.55178436885586e-10	0.999999999999653
0.000101393945767538	1.73351484573494e-10	1.57013171246727e-18	1.73351484573556e-10	0.999999999999643
0.000107166764803296	1.93652789697945e-10	1.57013171246727e-18	1.93652789697915e-10	1.00000000000015
0.000113268256713626	2.16331593871409e-10	1.57013171246727e-18	2.16331593871477e-10	0.99999999999969
0.000119717134341908	2.41666327554442e-10	1.57013171246727e-18	2.41666327554467e-10	0.999999999999895
0.000126533175938906	2.69968028379407e-10	1.57013171246727e-18	2.69968028379429e-10	0.99999999999992
0.000133737285821262	3.01584159798432e-10	1.57013171246727e-18	3.01584159798381e-10	1.00000000000017
