# Program settings for SigmaNu
# Electroweak scheme and input parameters
# Scheme = Complex mass scheme
# alpha_GF = 0.00755898078237864
# Pole masses/widths for particles [GeV]
# mw = 80.35797361
# gw = 2.084298894
# mz = 91.15348062
# gz = 2.494266379
# s^2_thetaw (derived) = (0.222868505240788,-0.00110716741475141)
# charged leptons
# m_e = 0.0005109989461
# m_m = 0.10565837
# m_t = 1.77686
# quarks
# m_d = 0.05
# m_u = 0.05
# m_s = 0.2
# m_c = 1.51
# m_b = 4.92
# m_t = 173
# Ecms (default) = 1

# channel_id = 6
# active_virtual = 0
# process  = nu_e nu_mu~ -> nu_e nu_mu~
# Ecms	sigma[pb]	sigma_error[pb]	sigma_analytic[pb]	ratio
3.38110078248073e-07	3.20909240234183e-16	2.02902450939242e-18	3.21268761646452e-16	0.998880932554954
3.57360224606583e-07	3.58491130111016e-16	2.26664488957762e-18	3.58892755309747e-16	0.99888093255495
3.77706369453942e-07	4.00474259558529e-16	2.53209314705946e-18	4.00922919345541e-16	0.998880932554956
3.99210912974811e-07	4.47374060605865e-16	2.82862822265045e-18	4.47875263232391e-16	0.998880932554951
4.21939808080509e-07	4.99766327862406e-16	3.15989071384132e-18	5.00326226654557e-16	0.998880932554957
4.45962762681916e-07	5.58294287618778e-16	3.52994757086344e-18	5.58919756522697e-16	0.998880932554953
4.71353453478699e-07	6.23676494814943e-16	3.94334202713517e-18	6.24375212789068e-16	0.998880932554955
4.98189751920525e-07	6.96715654827289e-16	4.40514937709603e-18	6.97496200117885e-16	0.998880932554953
5.26553963033285e-07	7.7830847838101e-16	4.92103928621866e-18	7.79180433838335e-16	0.998880932554954
5.56533077842775e-07	8.69456690577636e-16	5.49734539818746e-18	8.70430761305774e-16	0.99888093255496
5.88219040170007e-07	9.71279329196953e-16	6.14114309381892e-18	9.72367473981705e-16	0.998880932554957
6.21709028616396e-07	1.0850264832611e-15	6.8603363563793e-18	1.08624206138944e-15	0.998880932554957
6.57105754603641e-07	1.21209464053076e-15	7.66375480975687e-18	1.21345257580446e-15	0.99888093255495
6.94517777382385e-07	1.35404383235672e-15	8.56126212083699e-18	1.35556079631367e-15	0.998880932554945
7.34059836975738e-07	1.51261678637608e-15	9.56387709695037e-18	1.51431140296881e-15	0.998880932554953
7.75853206078802e-07	1.68976032219311e-15	1.06839089651224e-17	1.69165339643736e-15	0.998880932554956
8.20026061993433e-07	1.88764925272238e-15	1.19351084939624e-17	1.88976402612283e-15	0.998880932554952
8.66713879738945e-07	2.10871308463366e-15	1.33328368135359e-17	2.1110755205227e-15	0.998880932554959
9.16059847544394e-07	2.35566584570313e-15	1.48942540058439e-17	2.35830494799592e-15	0.998880932554955
9.68215305996734e-07	2.63153940526543e-15	1.66385297812523e-17	2.63448757454448e-15	0.998880932554955
1.02334021219167e-06	2.93972069684514e-15	1.85870788273787e-17	2.94301412814626e-15	0.998880932554955
1.08160363031074e-06	3.28399329995517e-15	2.07638237198375e-17	3.28767242713836e-15	0.998880932554951
1.14318425012918e-06	3.66858389156642e-15	2.31954886226352e-17	3.67269388372732e-15	0.998880932554954
1.20827093504481e-06	4.09821413753928e-15	2.59119273840094e-17	4.10280545355571e-15	0.998880932554954
1.27706330130868e-06	4.57815866109455e-15	2.89464900557847e-17	4.58328766911637e-15	0.998880932554947
1.34977233023398e-06	5.11430980000968e-15	3.23364323360487e-17	5.12003946949734e-15	0.998880932554955
1.42662101526078e-06	5.71324994757204e-15	3.61233729619285e-17	5.71965062238055e-15	0.99888093255496
1.5078450458611e-06	6.38233236542881e-15	4.03538046679289e-17	6.38948262742787e-15	0.998880932554952
1.59369353038183e-06	7.12977146048221e-15	4.50796649829343e-17	7.13775909431523e-15	0.998880932554955
1.68442976004237e-06	7.96474363417001e-15	5.03589738736259e-17	7.97366670499722e-15	0.998880932554953
1.78033201643018e-06	8.89749994227184e-15	5.62565460627211e-17	8.90746799972812e-15	0.998880932554954
1.88169442497062e-06	9.93949194837791e-15	6.28447867672814e-17	9.95062737152719e-15	0.998880932554952
1.98882785698888e-06	1.11035123161399e-14	7.02045806264343e-17	1.11159518159379e-14	0.998880932554953
2.10206088313024e-06	1.24038518663714e-14	7.84262847320158e-17	1.24177481640826e-14	0.998880932554953
2.22174078106297e-06	1.38564750272076e-14	8.76108379536583e-17	1.38719987293835e-14	0.998880932554949
2.34823460055437e-06	1.54792158313479e-14	9.78710001776829e-17	1.54965575243837e-14	0.998880932554959
