# Program settings for SigmaNu
# Electroweak scheme and input parameters
# Scheme = Complex mass scheme
# alpha_GF = 0.00755898078237864
# Pole masses/widths for particles [GeV]
# mw = 80.35797361
# gw = 2.084298894
# mz = 91.15348062
# gz = 2.494266379
# s^2_thetaw (derived) = (0.222868505240788,-0.00110716741475141)
# charged leptons
# m_e = 0.0005109989461
# m_m = 0.10565837
# m_t = 1.77686
# quarks
# m_d = 0.05
# m_u = 0.05
# m_s = 0.2
# m_c = 1.51
# m_b = 4.92
# m_t = 173

# channel_id = 9
# active_virtual = 0
# process  = nu_1 nu_1~ -> nu_2 nu_2~
# Ecms	sigma[pb]	sigma_error[pb]	sigma_analytic[pb]	ratio
3.11525422355537e-12	2.7291759022472e-26	1.57013171246727e-18	2.7252992439953e-26	1.0014224706738
3.23974262952807e-12	2.95165478083533e-26	1.57013171246727e-18	2.94746210243252e-26	1.00142247067379
3.36920570598013e-12	3.19226984895128e-26	1.57013171246727e-18	3.18773538884485e-26	1.00142247067379
3.50384224529052e-12	3.45249954523459e-26	1.57013171246727e-18	3.44759544182349e-26	1.00142247067379
3.64385898376338e-12	3.73394282872445e-26	1.57013171246727e-18	3.72863894916611e-26	1.00142247067379
3.78947091907449e-12	4.03832900352646e-26	1.57013171246727e-18	4.03259275858805e-26	1.00142247067378
3.94090164040326e-12	4.36752834437321e-26	1.57013171246727e-18	4.36132448818989e-26	1.00142247067379
4.09838367175706e-12	4.72356358836685e-26	1.57013171246727e-18	4.71685400187664e-26	1.00142247067379
4.26215882901511e-12	5.10862236351376e-26	1.57013171246727e-18	5.10136582023818e-26	1.00142247067379
4.43247859124017e-12	5.525070630417e-26	1.57013171246727e-18	5.51722254314857e-26	1.00142247067379
4.60960448682819e-12	5.97546721971825e-26	1.57013171246727e-18	5.96697936655826e-26	1.00142247067378
4.79380849508885e-12	6.46257955461343e-26	1.57013171246727e-18	6.45339978267634e-26	1.00142247067379
4.98537346387362e-12	6.98940065504641e-26	1.57013171246727e-18	6.97947256001132e-26	1.00142247067378
5.18459354389262e-12	7.55916752806393e-26	1.57013171246727e-18	7.54843010760272e-26	1.00142247067379
5.39177464038719e-12	8.17538105732705e-26	1.57013171246727e-18	8.1637683362811e-26	1.00142247067379
5.6072348828517e-12	8.84182751399091e-26	1.57013171246727e-18	8.82926813899217e-26	1.00142247067379
5.83130511352586e-12	9.56260182112253e-26	1.57013171246727e-18	9.54901862216904e-26	1.00142247067379
6.06432939540768e-12	1.03421327146046e-25	1.57013171246727e-18	1.03274422308959e-25	1.00142247067379
6.306665540567e-12	1.11852099551227e-25	1.57013171246727e-18	1.11693219222422e-25	1.00142247067379
6.558685659571e-12	1.20970137584392e-25	1.57013171246727e-18	1.20798305537322e-25	1.00142247067379
6.82077673286523e-12	1.30831466247844e-25	1.57013171246727e-18	1.30645626675239e-25	1.0014224706738
7.09334120498751e-12	1.41496677629381e-25	1.57013171246727e-18	1.41295688655934e-25	1.00142247067379
7.37679760252722e-12	1.53031303205186e-25	1.57013171246727e-18	1.52813929871398e-25	1.00142247067379
7.67158117677876e-12	1.65506216492359e-25	1.57013171246727e-18	1.6527112316643e-25	1.00142247067379
7.97814457207605e-12	1.78998068525154e-25	1.57013171246727e-18	1.78743810696316e-25	1.00142247067379
8.2969585208343e-12	1.9358975883069e-25	1.57013171246727e-18	1.93314774233531e-25	1.00142247067379
8.62851256636624e-12	2.09370944797977e-25	1.57013171246727e-18	2.09073543813237e-25	1.00142247067379
8.97331581458284e-12	2.26438592570055e-25	1.57013171246727e-18	2.261169478429e-25	1.0014224706738
9.33189771573251e-12	2.44897572844129e-25	1.57013171246727e-18	2.44549708056136e-25	1.00142247067378
9.70480887737953e-12	2.64861305240587e-25	1.57013171246727e-18	2.64485082966413e-25	1.00142247067379
1.00926219098697e-11	2.86452455200105e-25	1.57013171246727e-18	2.86045563774268e-25	1.00142247067379
1.04959323055814e-11	3.09803687690936e-25	1.57013171246727e-18	3.09363627003984e-25	1.0014224706738
1.0915359353313e-11	3.35058482357413e-25	1.57013171246727e-18	3.34582548494218e-25	1.00142247067379
1.1351547089209e-11	3.62372015118326e-25	1.57013171246727e-18	3.61857283744103e-25	1.00142247067379
1.1805165285687e-11	3.91912111632031e-25	1.57013171246727e-18	3.91355420024017e-25	1.00142247067379
1.22769104798825e-11	4.23860278486799e-25	1.57013171246727e-18	4.23258206101179e-25	1.00142247067379
1.27675070431915e-11	4.58412818452494e-25	1.57013171246727e-18	4.57761665907155e-25	1.00142247067379
1.32777082935531e-11	4.95782036646076e-25	1.57013171246727e-18	4.95077802990079e-25	1.00142247067379
1.38082976521797e-11	5.36197545022192e-25	1.57013171246727e-18	5.35435903152266e-25	1.00142247067379
1.43600898465113e-11	5.79907673204125e-25	1.57013171246727e-18	5.7908394327715e-25	1.00142247067379
1.49339321612411e-11	6.27180994323834e-25	1.57013171246727e-18	6.26290115001965e-25	1.00142247067378
1.55307057393331e-11	6.78307975246571e-25	1.57013171246727e-18	6.77344472598246e-25	1.00142247067379
1.61513269350293e-11	7.33602761319539e-25	1.57013171246727e-18	7.32560715185418e-25	1.00142247067379
1.67967487209249e-11	7.93405106611084e-25	1.57013171246727e-18	7.92278114228107e-25	1.00142247067379
1.74679621512707e-11	8.58082461500377e-25	1.57013171246727e-18	8.56863598160554e-25	1.00142247067379
1.81659978837514e-11	9.28032230444761e-25	1.57013171246727e-18	9.26714006946885e-25	1.00142247067379
1.88919277620747e-11	1.00368421379731e-24	1.57013171246727e-18	1.00225853043022e-24	1.00142247067379
1.96468664618024e-11	1.08550324867828e-24	1.57013171246727e-18	1.08396134545286e-24	1.00142247067379
2.04319732019505e-11	1.17399206512682e-24	1.57013171246727e-18	1.172324467951e-24	1.00142247067378
2.12484535249865e-11	1.26969437508265e-24	1.57013171246727e-18	1.26789083754867e-24	1.00142247067379
2.20975611479566e-11	1.37319821317732e-24	1.57013171246727e-18	1.37124765360356e-24	1.00142247067379
2.2980599887586e-11	1.48513954986266e-24	1.57013171246727e-18	1.48302998320319e-24	1.00142247067379
2.38989256623078e-11	1.60620619907654e-24	1.57013171246727e-18	1.60392466328006e-24	1.00142247067379
2.48539485742952e-11	1.7371420444567e-24	1.57013171246727e-18	1.73467452082226e-24	1.00142247067379
2.58471350746927e-11	1.87875161006983e-24	1.57013171246727e-18	1.87608293711019e-24	1.00142247067379
2.6880010215373e-11	2.03190500374075e-24	1.57013171246727e-18	2.0290187840239e-24	1.00142247067379
2.79541599906753e-11	2.19754326335516e-24	1.57013171246727e-18	2.19442176275174e-24	1.00142247067378
2.90712337727223e-11	2.37668413898642e-24	1.57013171246727e-18	2.37330817770376e-24	1.00142247067379
3.02329468440542e-11	2.57042834637317e-24	1.57013171246727e-18	2.5667771811069e-24	1.00142247067379
3.14410830314688e-11	2.77996633017312e-24	1.57013171246727e-18	2.77601752665155e-24	1.00142247067378
3.26974974451137e-11	3.00658557854788e-24	1.57013171246727e-18	3.00231487368659e-24	1.00142247067379
3.40041193270329e-11	3.25167853402353e-24	1.57013171246727e-18	3.24705968684295e-24	1.00142247067379
3.5362955013546e-11	3.51675114923425e-24	1.57013171246727e-18	3.51175577962421e-24	1.00142247067379
3.67760910160057e-11	3.80343214011904e-24	1.57013171246727e-18	3.79802955445967e-24	1.00142247067378
3.82456972246651e-11	4.11348299342727e-24	1.57013171246727e-18	4.10763999599445e-24	1.0014224706738
3.97740302405752e-11	4.44880879002234e-24	1.57013171246727e-18	4.4424894790198e-24	1.00142247067379
4.13634368406273e-11	4.81146991048818e-24	1.57013171246727e-18	4.80463545745167e-24	1.0014224706738
4.30163575810623e-11	5.20369469496051e-24	1.57013171246727e-18	5.19630310617984e-24	1.00142247067379
4.47353305449787e-11	5.62789313497191e-24	1.57013171246727e-18	5.61989899346403e-24	1.00142247067379
4.65229952395956e-11	6.08667168143769e-24	1.57013171246727e-18	6.07802586788611e-24	1.00142247067379
4.8382096649253e-11	6.5828492597703e-24	1.57013171246727e-18	6.57349865071541e-24	1.0014224706738
5.03154894503736e-11	7.11947459052397e-24	1.57013171246727e-18	7.10936173195093e-24	1.00142247067379
5.23261423948593e-11	7.6998449219975e-24	1.57013171246727e-18	7.68890767631444e-24	1.00142247067379
5.44171428686513e-11	8.32752628989254e-24	1.57013171246727e-18	8.3156974541319e-24	1.00142247067379
5.65917016324544e-11	9.00637542851458e-24	1.57013171246727e-18	8.99358232141008e-24	1.00142247067379
5.88531577519061e-11	9.74056346814594e-24	1.57013171246727e-18	9.7267274835486e-24	1.0014224706738
6.12049837247581e-11	1.05346015641973e-23	1.57013171246727e-18	1.05196376880871e-23	1.00142247067379
6.36507908129464e-11	1.1393368615616e-23	1.57013171246727e-18	1.13771849037401e-23	1.00142247067379
6.61943345877342e-11	1.23221412428609e-23	1.57013171246727e-18	1.23046382557905e-23	1.00142247067379
6.88395206964447e-11	1.3326626209645e-23	1.57013171246727e-18	1.33076964017777e-23	1.00142247067379
7.15904108596381e-11	1.44129954876546e-23	1.57013171246727e-18	1.43925225464104e-23	1.0014224706738
7.44512291079401e-11	1.55879241797002e-23	1.57013171246727e-18	1.55657823108482e-23	1.0014224706738
7.74263682681009e-11	1.68586315343126e-23	1.57013171246727e-18	1.68346846890399e-23	1.00142247067379
8.05203967082423e-11	1.82329253037967e-23	1.57013171246727e-18	1.82070263427673e-23	1.00142247067379
