# Program settings for SigmaNu
# Electroweak scheme and input parameters
# Scheme = Complex mass scheme
# alpha_GF = 0.00755898078237864
# Pole masses/widths for particles [GeV]
# mw = 80.35797361
# gw = 2.084298894
# mz = 91.15348062
# gz = 2.494266379
# s^2_thetaw (derived) = (0.222868505240788,-0.00110716741475141)
# charged leptons
# m_e = 0.0005109989461
# m_m = 0.10565837
# m_t = 1.77686
# quarks
# m_d = 0.05
# m_u = 0.05
# m_s = 0.2
# m_c = 1.51
# m_b = 4.92
# m_t = 173

# channel_id = 2
# active_virtual = 0
# process  = nu_e nu_e~ -> nu_e nu_e~
# Ecms	sigma[pb]	sigma_error[pb]	sigma_analytic[pb]	ratio
2.48539485742952e-11	6.9485681778268e-24	1.57013171246727e-18	6.93999692776642e-24	1.00123505098772
2.58471350746927e-11	7.51500644027932e-24	1.57013171246727e-18	7.50573647303479e-24	1.00123505098771
2.6880010215373e-11	8.12762001496298e-24	1.57013171246727e-18	8.11759437201595e-24	1.00123505098772
2.79541599906753e-11	8.79017305342063e-24	1.57013171246727e-18	8.77933013306842e-24	1.0012350509877
2.90712337727223e-11	9.50673655594566e-24	1.57013171246727e-18	9.49500973479434e-24	1.00123505098772
3.02329468440542e-11	1.02817133854927e-23	1.57013171246727e-18	1.02690306090961e-23	1.00123505098771
3.14410830314688e-11	1.11198653206925e-23	1.57013171246727e-18	1.11061486608193e-23	1.00123505098771
3.26974974451137e-11	1.20263423141915e-23	1.57013171246727e-18	1.20115074900021e-23	1.00123505098771
3.40041193270329e-11	1.30067141360941e-23	1.57013171246727e-18	1.29906699962841e-23	1.00123505098772
3.5362955013546e-11	1.4067004596937e-23	1.57013171246727e-18	1.40496525596661e-23	1.00123505098772
3.67760910160057e-11	1.52137285604762e-23	1.57013171246727e-18	1.51949620076405e-23	1.0012350509877
3.82456972246651e-11	1.64539319737091e-23	1.57013171246727e-18	1.64336355958346e-23	1.00123505098772
3.97740302405752e-11	1.77952351600894e-23	1.57013171246727e-18	1.77732842478241e-23	1.00123505098772
4.13634368406273e-11	1.92458796419527e-23	1.57013171246727e-18	1.92221393197997e-23	1.00123505098772
4.30163575810623e-11	2.0814778779842e-23	1.57013171246727e-18	2.07891031774291e-23	1.00123505098771
4.47353305449787e-11	2.25115725398876e-23	1.57013171246727e-18	2.24838038956787e-23	1.00123505098772
4.65229952395956e-11	2.43466867257508e-23	1.57013171246727e-18	2.43166544176944e-23	1.00123505098771
4.8382096649253e-11	2.63313970390812e-23	1.57013171246727e-18	2.62989165362371e-23	1.00123505098772
5.03154894503736e-11	2.84778983620959e-23	1.57013171246727e-18	2.8442770090802e-23	1.00123505098771
5.23261423948593e-11	3.079937968799e-23	1.57013171246727e-18	3.07613878055972e-23	1.00123505098772
5.44171428686513e-11	3.33101051595701e-23	1.57013171246727e-18	3.32690162282172e-23	1.00123505098772
5.65917016324544e-11	3.60255017140583e-23	1.57013171246727e-18	3.59810632663323e-23	1.00123505098771
5.88531577519061e-11	3.89622538725838e-23	1.57013171246727e-18	3.89141928602554e-23	1.00123505098772
6.12049837247581e-11	4.21384062567893e-23	1.57013171246727e-18	4.20864273730929e-23	1.00123505098771
6.36507908129464e-11	4.55734744624639e-23	1.57013171246727e-18	4.55172583276084e-23	1.00123505098771
6.61943345877342e-11	4.92885649714438e-23	1.57013171246727e-18	4.92277661702122e-23	1.00123505098771
6.88395206964447e-11	5.33065048385799e-23	1.57013171246727e-18	5.32407497979552e-23	1.00123505098772
7.15904108596381e-11	5.76519819506183e-23	1.57013171246727e-18	5.75808666443954e-23	1.00123505098772
7.44512291079401e-11	6.23516967188008e-23	1.57013171246727e-18	6.22747841850827e-23	1.00123505098772
7.74263682681009e-11	6.74345261372503e-23	1.57013171246727e-18	6.73513437935742e-23	1.00123505098771
8.05203967082423e-11	7.29317012151869e-23	1.57013171246727e-18	7.28417379547793e-23	1.00123505098771
8.37380653526519e-11	7.88769988731801e-23	1.57013171246727e-18	7.87797019245064e-23	1.00123505098771
