# Program settings for SigmaNu
# Electroweak scheme and input parameters
# Scheme = Complex mass scheme
# alpha_GF = 0.00755898078237864
# Pole masses/widths for particles [GeV]
# mw = 80.35797361
# gw = 2.084298894
# mz = 91.15348062
# gz = 2.494266379
# s^2_thetaw (derived) = (0.222868505240788,-0.00110716741475141)
# charged leptons
# m_e = 0.0005109989461
# m_m = 0.10565837
# m_t = 1.77686
# quarks
# m_d = 0.05
# m_u = 0.05
# m_s = 0.2
# m_c = 1.51
# m_b = 4.92
# m_t = 173

# channel_id = 6
# active_virtual = 0
# process  = nu_e nu_mu~ -> nu_e nu_mu~
# Ecms	sigma[pb]	sigma_error[pb]	sigma_analytic[pb]	ratio
1e-12	2.81218923188533e-27	1.57013171246727e-18	2.81029730430724e-27	1.00067321260821
1.03996091395412e-12	3.04143524940013e-27	1.57013171246727e-18	3.03938909434055e-27	1.00067321260821
1.08151870255229e-12	3.28936910482804e-27	1.57013171246727e-18	3.28715614986276e-27	1.00067321260822
1.12473717836475e-12	3.55751420646916e-27	1.57013171246727e-18	3.55512085428634e-27	1.00067321260821
1.16968270397038e-12	3.84751814889183e-27	1.57013171246727e-18	3.84492969374433e-27	1.00067321260821
1.21642429385736e-12	4.16116283643588e-27	1.57013171246727e-18	4.15836337378313e-27	1.00067321260821
1.26503372039589e-12	4.50037543197095e-27	1.57013171246727e-18	4.49734776075487e-27	1.00067321260822
1.31558562404569e-12	4.8672401981834e-27	1.57013171246727e-18	4.86396571513803e-27	1.00067321260822
1.36815762796746e-12	5.26401130414962e-27	1.57013171246727e-18	5.26046988949488e-27	1.00067321260821
1.42283045721434e-12	5.69312667588444e-27	1.57013171246727e-18	5.68929656970187e-27	1.00067321260821
1.47968806268638e-12	6.1572229759684e-27	1.57013171246727e-18	6.15308064449913e-27	1.00067321260822
1.53881775003832e-12	6.65915180429446e-27	1.57013171246727e-18	6.65467179533828e-27	1.00067321260822
1.60031031373868e-12	7.20199721947921e-27	1.57013171246727e-18	7.19715200600555e-27	1.00067321260821
1.66426017648588e-12	7.78909468859638e-27	1.57013171246727e-18	7.7838544996067e-27	1.00067321260822
1.73076553419569e-12	8.42405158166762e-27	1.57013171246727e-18	8.4183842192704e-27	1.00067321260822
1.79992850678244e-12	9.11076933683866e-27	1.57013171246727e-18	9.10463997841196e-27	1.00067321260821
1.87185529496554e-12	9.85346743243094e-27	1.57013171246727e-18	9.84683841665777e-27	1.00067321260822
1.94665634334222e-12	1.0656709313164e-26	1.57013171246727e-18	1.06495399086257e-26	1.00067321260822
2.02444650997676e-12	1.15254304298498e-26	1.57013171246727e-18	1.15176765847557e-26	1.00067321260821
2.10534524276665e-12	1.24649685648479e-26	1.57013171246727e-18	1.24565826363618e-26	1.00067321260822
2.18947676285656e-12	1.34810966296093e-26	1.57013171246727e-18	1.34720270911133e-26	1.00067321260822
2.27697025538162e-12	1.4580058135837e-26	1.57013171246727e-18	1.45702492603301e-26	1.00067321260821
2.36796006783301e-12	1.57686055582073e-26	1.57013171246727e-18	1.57579970758956e-26	1.00067321260821
2.46258591635047e-12	1.70540418243711e-26	1.57013171246727e-18	1.70425685523453e-26	1.00067321260821
2.56099310025838e-12	1.84442651871663e-26	1.57013171246727e-18	1.84318566288909e-26	1.00067321260822
2.66333272517489e-12	1.99478177547545e-26	1.57013171246727e-18	1.99343976669078e-26	1.00067321260822
2.76976193503679e-12	2.15739379768713e-26	1.57013171246727e-18	2.15594239008755e-26	1.00067321260821
2.88044415339619e-12	2.33326174096894e-26	1.57013171246727e-18	2.33169201650496e-26	1.00067321260821
2.9955493343597e-12	2.5234662108076e-26	1.57013171246727e-18	2.52176852444196e-26	1.00067321260821
3.11525422355537e-12	2.7291759022472e-26	1.57013171246727e-18	2.72733982269166e-26	1.00067321260822
3.23974262952807e-12	2.95165478083533e-26	1.57013171246727e-18	2.94966902645667e-26	1.00067321260821
3.36920570598013e-12	3.19226984895128e-26	1.57013171246727e-18	3.19012221845208e-26	1.00067321260821
3.50384224529052e-12	3.45249954523459e-26	1.57013171246727e-18	3.45017684268351e-26	1.00067321260822
3.64385898376338e-12	3.73394282872445e-26	1.57013171246727e-18	3.73143078247501e-26	1.00067321260821
3.78947091907449e-12	4.03832900352646e-26	1.57013171246727e-18	4.03561217852603e-26	1.00067321260821
3.94090164040326e-12	4.36752834437321e-26	1.57013171246727e-18	4.36459004732368e-26	1.00067321260821
4.09838367175706e-12	4.72356358836685e-26	1.57013171246727e-18	4.72038576515412e-26	1.00067321260821
4.26215882901511e-12	5.10862236351376e-26	1.57013171246727e-18	5.10518548827576e-26	1.00067321260822
4.43247859124017e-12	5.525070630417e-26	1.57013171246727e-18	5.52135358556876e-26	1.00067321260822
4.60960448682819e-12	5.97546721971825e-26	1.57013171246727e-18	5.97144716619673e-26	1.00067321260821
4.79380849508885e-12	6.46257955461343e-26	1.57013171246727e-18	6.45823179154461e-26	1.00067321260821
4.98537346387362e-12	6.98940065504641e-26	1.57013171246727e-18	6.98469846797325e-26	1.00067321260821
5.18459354389262e-12	7.55916752806393e-26	1.57013171246727e-18	7.55408202480136e-26	1.00067321260821
5.39177464038719e-12	8.17538105732705e-26	1.57013171246727e-18	8.16988099043671e-26	1.00067321260821
5.6072348828517e-12	8.84182751399091e-26	1.57013171246727e-18	8.83587908878369e-26	1.00067321260821
5.83130511352586e-12	9.56260182112253e-26	1.57013171246727e-18	9.55616848801021e-26	1.00067321260821
6.06432939540768e-12	1.03421327146046e-25	1.57013171246727e-18	1.03351749445238e-25	1.00067321260821
6.306665540567e-12	1.11852099551227e-25	1.57013171246727e-18	1.11776849966523e-25	1.00067321260822
6.558685659571e-12	1.20970137584392e-25	1.57013171246727e-18	1.20888753751175e-25	1.00067321260821
6.82077673286523e-12	1.30831466247844e-25	1.57013171246727e-18	1.30743448110134e-25	1.00067321260822
7.09334120498751e-12	1.41496677629381e-25	1.57013171246727e-18	1.41401484367284e-25	1.00067321260822
7.37679760252722e-12	1.53031303205186e-25	1.57013171246727e-18	1.52928349911872e-25	1.00067321260821
7.67158117677876e-12	1.65506216492359e-25	1.57013171246727e-18	1.6539487058015e-25	1.00067321260822
7.97814457207605e-12	1.78998068525154e-25	1.57013171246727e-18	1.78877645838647e-25	1.00067321260822
8.2969585208343e-12	1.9358975883069e-25	1.57013171246727e-18	1.93459519443021e-25	1.00067321260822
8.62851256636624e-12	2.09370944797977e-25	1.57013171246727e-18	2.09230088464405e-25	1.00067321260821
8.97331581458284e-12	2.26438592570055e-25	1.57013171246727e-18	2.26286253810923e-25	1.00067321260822
9.33189771573251e-12	2.44897572844129e-25	1.57013171246727e-18	2.44732815627006e-25	1.00067321260821
9.70480887737953e-12	2.64861305240587e-25	1.57013171246727e-18	2.64683117228888e-25	1.00067321260821
1.00926219098697e-11	2.86452455200105e-25	1.57013171246727e-18	2.86259741532881e-25	1.00067321260821
1.04959323055814e-11	3.09803687690936e-25	1.57013171246727e-18	3.09595264255594e-25	1.00067321260822
1.0915359353313e-11	3.35058482357413e-25	1.57013171246727e-18	3.34833068514042e-25	1.00067321260822
1.1351547089209e-11	3.62372015118326e-25	1.57013171246727e-18	3.62128225830907e-25	1.00067321260821
1.1805165285687e-11	3.91912111632031e-25	1.57013171246727e-18	3.91648448958204e-25	1.00067321260822
1.22769104798825e-11	4.23860278486799e-25	1.57013171246727e-18	4.23575122373891e-25	1.00067321260821
1.27675070431915e-11	4.58412818452494e-25	1.57013171246727e-18	4.58104416783236e-25	1.00067321260822
1.32777082935531e-11	4.95782036646076e-25	1.57013171246727e-18	4.95448494472877e-25	1.00067321260821
1.38082976521797e-11	5.36197545022192e-25	1.57013171246727e-18	5.35836812923789e-25	1.00067321260821
1.43600898465113e-11	5.79907673204125e-25	1.57013171246727e-18	5.79517534693088e-25	1.00067321260822
1.49339321612411e-11	6.27180994323834e-25	1.57013171246727e-18	6.26759052227568e-25	1.00067321260821
